timestamp,row_index,feature,raw_values,scaled_values,rule_triggered,rule_details,model_triggered,model_score,model_prediction,severity,suggestion
"2025-09-25 00:53:00","3","pressure","{""temp"": 48.48116182585755, ""pressure"": 1.1407869370740136, ""vibration"": 0.0222613898741725}","{""temp"": 0.3835617534801036, ""pressure"": 4.353109559267611, ""vibration"": -0.429325180489056}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.024964","1","high","""Inspect pumps and valves."""
"2025-09-25 00:55:00","5","vibration","{""temp"": 49.80016351851123, ""pressure"": 1.0310108978238568, ""vibration"": 0.1441230442130433}","{""temp"": 0.9062479044350201, ""pressure"": 0.2441806551397244, ""vibration"": 3.9076983768217044}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.058778","-1","medium","""Check bearings and mounting."""
"2025-09-25 01:11:00","21","pressure","{""temp"": 46.70068181732086, ""pressure"": 1.1007953588959964, ""vibration"": 0.0260174668630262}","{""temp"": -0.32199628158343574, ""pressure"": 2.856220505702036, ""vibration"": -0.29564740898570957}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.090750","1","high","""Inspect pumps and valves."""
"2025-09-25 01:13:00","23","temp","{""temp"": 41.899181050273455, ""pressure"": 1.014657405940789, ""vibration"": 0.0367803097241502}","{""temp"": -2.2247064666521856, ""pressure"": -0.3679322972016718, ""vibration"": 0.08739927855166302}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.115987","1","high","""Check cooling system."""
"2025-09-25 01:22:00","32","vibration","{""temp"": 46.62051672550866, ""pressure"": 0.9993545306263116, ""vibration"": 0.0982762900027502}","{""temp"": -0.3537636276859023, ""pressure"": -0.9407205588790122, ""vibration"": 2.276024704615098}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.020207","1","medium","""Check bearings and mounting."""
"2025-09-25 01:23:00","33","temp","{""temp"": 37.84770332576976, ""pressure"": 1.038691903178996, ""vibration"": 0.0274059398307532}","{""temp"": -3.8302019783675205, ""pressure"": 0.5316815080769719, ""vibration"": -0.24623202887790505}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.045196","1","high","""Check cooling system."""
"2025-09-25 01:54:00","64","temp","{""temp"": 52.795549563095655, ""pressure"": 1.026958801569393, ""vibration"": 0.0220004789746384}","{""temp"": 2.093241682371722, ""pressure"": 0.09251025843016844, ""vibration"": -0.4386109293472806}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.106882","1","high","""Check cooling system."""
"2025-09-25 02:05:00","75","temp","{""temp"": 54.1721794546096, ""pressure"": 1.024800155257526, ""vibration"": 0.0394425490204089}","{""temp"": 2.638764393443655, ""pressure"": 0.011711895825681653, ""vibration"": 0.1821476602777548}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.069773","1","high","""Check cooling system."""
"2025-09-25 02:14:00","84","vibration","{""temp"": 45.1875016328994, ""pressure"": 1.04707410251967, ""vibration"": 0.2415498531758361}","{""temp"": -0.9216303311086232, ""pressure"": 0.8454281269777566, ""vibration"": 7.375092348105312}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.144782","-1","medium","""Check bearings and mounting."""
"2025-09-25 02:16:00","86","temp","{""temp"": 57.88329274965232, ""pressure"": 0.9984151526606464, ""vibration"": 0.0338824838254876}","{""temp"": 4.109382312091614, ""pressure"": -0.9758815767239625, ""vibration"": -0.015733567097520607}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.001061","-1","high","""Check cooling system."""
"2025-09-25 02:17:00","87","pressure","{""temp"": 47.36422894333992, ""pressure"": 1.2645462768616462, ""vibration"": 0.0329708497426857}","{""temp"": -0.05904977043960314, ""pressure"": 8.98543489986749, ""vibration"": -0.04817837932503742}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.086815","-1","high","""Inspect pumps and valves."""
"2025-09-25 02:26:00","96","temp","{""temp"": 59.552137535642146, ""pressure"": 1.0078238226849614, ""vibration"": 0.0386915424648157}","{""temp"": 4.770702204695595, ""pressure"": -0.623714050218361, ""vibration"": 0.15541953861410893}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.035357","-1","high","""Check cooling system."""
"2025-09-25 02:40:00","110","temp","{""temp"": 58.08910233416644, ""pressure"": 1.0205779387375984, ""vibration"": 0.0216479131127661}","{""temp"": 4.190939310963154, ""pressure"": -0.14632612063693598, ""vibration"": -0.4511586537051962}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.008166","-1","high","""Check cooling system."""
"2025-09-25 02:49:00","119","temp","{""temp"": 38.56449140495472, ""pressure"": 1.0327442789777577, ""vibration"": 0.0366757896769581}","{""temp"": -3.5461574587537568, ""pressure"": 0.3090612973434707, ""vibration"": 0.08367943813637677}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.047361","1","high","""Check cooling system."""
